Year,Month,Entry Type,Tax Type,Amount
1988,August,Actual Outturn,Capital Gains Tax,5191
1988,August,Actual Outturn,Stamps,32256
1988,August,Actual Outturn,Income Tax,226881
1988,August,Actual Outturn,Corporation Tax,64272
1988,August,Actual Outturn,Valued Added Tax,111460
1988,August,Actual Outturn,Training and Employment Levy,11523
1988,August,Actual Outturn,Motor Vehicle Duties,15151
1988,September,Actual Outturn,Customs,11809
1988,September,Actual Outturn,Excise Duty,141863
1988,September,Actual Outturn,Capital Gains Tax,8279
1988,September,Actual Outturn,Stamps,59701
1988,September,Actual Outturn,Income Tax,270231
1988,September,Actual Outturn,Corporation Tax,36024
1988,September,Actual Outturn,Valued Added Tax,273146
1988,September,Actual Outturn,Training and Employment Levy,10078
1988,September,Actual Outturn,Motor Vehicle Duties,13927
1988,October,Actual Outturn,Customs,13840
1988,October,Actual Outturn,Excise Duty,160499
1988,October,Actual Outturn,Capital Gains Tax,11843
1988,October,Actual Outturn,Stamps,15185
1988,October,Actual Outturn,Income Tax,524653
1988,October,Actual Outturn,Corporation Tax,62410
1988,October,Actual Outturn,Valued Added Tax,189324
1988,October,Actual Outturn,Training and Employment Levy,13497
1988,October,Actual Outturn,Unallocated Tax Receipts,285809
1988,October,Actual Outturn,Motor Vehicle Duties,13182
1988,November,Actual Outturn,Customs,11301
1988,November,Actual Outturn,Excise Duty,193360
1988,November,Actual Outturn,Capital Gains Tax,9950
1988,November,Actual Outturn,Stamps,21968
1988,November,Actual Outturn,Income Tax,569864
1988,November,Actual Outturn,Corporation Tax,76372
1988,November,Actual Outturn,Valued Added Tax,280888
1988,November,Actual Outturn,Training and Employment Levy,21718
1988,November,Actual Outturn,Unallocated Tax Receipts,-157679
1988,November,Actual Outturn,Motor Vehicle Duties,14125
1988,December  ,Actual Outturn,Customs,11858
1988,December  ,Actual Outturn,Excise Duty,193748
1988,December  ,Actual Outturn,Capital Gains Tax,7837
1988,December  ,Actual Outturn,Stamps,8319
1988,December  ,Actual Outturn,Income Tax,259359
1988,December  ,Actual Outturn,Corporation Tax,8602
1988,December  ,Actual Outturn,Valued Added Tax,145032
1988,December  ,Actual Outturn,Training and Employment Levy,40524
1988,December  ,Actual Outturn,Unallocated Tax Receipts,-128131
1988,December  ,Actual Outturn,Motor Vehicle Duties,12846
1989,January,Actual Outturn,Customs,11174
1989,January,Actual Outturn,Excise Duty,133484
1989,January,Actual Outturn,Capital Gains Tax,4021
1989,January,Actual Outturn,Stamps,27393
1989,January,Actual Outturn,Income Tax,330028
1989,January,Actual Outturn,Corporation Tax,21211
1989,January,Actual Outturn,Valued Added Tax,274571
1989,January,Actual Outturn,Training and Employment Levy,12017
1989,January,Actual Outturn,Motor Vehicle Duties,17929
1989,February,Actual Outturn,Customs,14475
1989,February,Actual Outturn,Excise Duty,152711
1989,February,Actual Outturn,Capital Gains Tax,10140
1989,February,Actual Outturn,Stamps,20382
1989,February,Actual Outturn,Income Tax,259157
1989,February,Actual Outturn,Corporation Tax,16714
1989,February,Actual Outturn,Valued Added Tax,156723
1989,February,Actual Outturn,Training and Employment Levy,10623
1989,February,Actual Outturn,Motor Vehicle Duties,16901
1989,March,Actual Outturn,Customs,7999
1989,March,Actual Outturn,Excise Duty,169835
1989,March,Actual Outturn,Capital Gains Tax,5966
1989,March,Actual Outturn,Stamps,31290
1989,March,Actual Outturn,Income Tax,255580
1989,March,Actual Outturn,Corporation Tax,18550
1989,March,Actual Outturn,Valued Added Tax,239329
1989,March,Actual Outturn,Training and Employment Levy,10472
1989,March,Actual Outturn,Motor Vehicle Duties,16637
1989,April,Actual Outturn,Customs,15999
1989,April,Actual Outturn,Excise Duty,155493
1989,April,Actual Outturn,Capital Gains Tax,5636
1989,April,Actual Outturn,Stamps,15523
1989,April,Actual Outturn,Income Tax,299362
1989,April,Actual Outturn,Corporation Tax,23159
1989,April,Actual Outturn,Valued Added Tax,146036
